Tee,Nimi,Suurus
C:\Users\szele\VirtualBox VMs\Win 10Client\Win 10Client.vdi,Win 10Client.vdi,22.29 GB
C:\Users\szele\VirtualBox VMs\Debian11\Debian11-disk001.vdi,Debian11-disk001.vdi,13.19 GB
C:\Users\szele\VirtualBox VMs\windows 7 64 1\win7-sysprep-disk1.vdi,win7-sysprep-disk1.vdi,8.60 GB
C:\Users\szele\VirtualBox VMs\DebNoGui7\DebNoGui7.vdi,DebNoGui7.vdi,7.32 GB
C:\Users\szele\VirtualBox VMs\Deb12NoGui 1\Deb12NoGui-disk001.vdi,Deb12NoGui-disk001.vdi,6.90 GB
C:\Users\szele\AppData\Roaming\spt-installer\cache\patcher,patcher,6.24 GB
C:\Users\szele\VirtualBox VMs\RasPI\RasPI.vdi,RasPI.vdi,5.35 GB
C:\Users\szele\AppData\Local\AMD\DxcCache\a06b7104.34ff2280.7deb3888.cef507b2.1.parc,a06b7104.34ff2280.7deb3888.cef507b2.1.parc,4.81 GB
C:\Users\szele\VirtualBox VMs\Raspbian\Raspbian-disk001.vdi,Raspbian-disk001.vdi,4.62 GB
C:\Users\szele\Downloads\Mods\Tarkov\WTT-Armory-2.0.5.7z,WTT-Armory-2.0.5.7z,4.42 GB
