"Tee","Nimi","Suurus"
"C:\Users\Lauri\VirtualBox VMs\CLI1\CLI1.vdi","CLI1.vdi","17,7 GB"
"C:\Users\Lauri\VirtualBox VMs\W11Kristo\W11Kristo.vdi","W11Kristo.vdi","13,4 GB"
"C:\Users\Lauri\VirtualBox VMs\Debian11\Debian11-disk001.vdi","Debian11-disk001.vdi","13,1 GB"
"C:\Users\Lauri\VirtualBox VMs\windows 7 64 UUS\win7-sysprep-disk1.vdi","win7-sysprep-disk1.vdi","7,8 GB"
"C:\Users\Lauri\OneDrive - Tallinn Polytechnic School\SW_DVD9_Win_Pro_10_22H2.22_64BIT_Eng_Intl_Pro_Ent_EDU_N_MLF_X23-80694.ISO","SW_DVD9_Win_Pro_10_22H2.22_64BIT_Eng_Intl_Pro_Ent_EDU_N_MLF_X23-80694.ISO","6,5 GB"
"C:\Users\Lauri\Downloads\ubuntu-24.04.3-desktop-amd64.iso","ubuntu-24.04.3-desktop-amd64.iso","5,9 GB"
"C:\Users\Lauri\Downloads\Win11_24H2_English_x64.iso","Win11_24H2_English_x64.iso","5,4 GB"
"C:\Users\Lauri\VirtualBox VMs\SRV1\SRV1.vdi","SRV1.vdi","5,4 GB"
"C:\Users\Lauri\Downloads\19045.2006.220908-0225.22h2_release_svc_refresh_CLIENTENTERPRISEEVAL_OEMRET_x64FRE_en-us.iso","19045.2006.220908-0225.22h2_release_svc_refresh_CLIENTENTERPRISEEVAL_OEMRET_x64FRE_en-us.iso","5,2 GB"
"C:\Users\Lauri\Downloads\Windows10.iso","Windows10.iso","4,6 GB"
